,,,,,Vorticity,,,,,,,Energy,,,,,,,,,,,,,,,,,,,,,,,
,Parameters,,,Velocity,,Time,w',w_total,|w_total|,e-foldings,,,Time,E_y(J/m),log(E_y),2*growth rate*t,,,,,,,,,,,,,,,,,,,
,,,,0.1 m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta,0.1 m,,,,0,0.00009912,-0.49990088,0.49990088,0,,,0,3.33E-09,-19.51929303,0,,,,,,,,,,,,,,,,,,,
,Kinematic Viscosity,.00001 m^2/s,,,,5,0.00026944,-0.49973056,0.49973056,1,,,5,2.46E-08,-17.51929303,2,,,,,,,,,,,,,,,,,,,
,Lx,10m,,,,10,0.00073241,-0.49926759,0.49926759,2,,,10,1.82E-07,-15.51929303,4,,,,,,,,,,,,,,,,,,,
,Lz,5m,,,,15,0.00199088,-0.49800912,0.49800912,3,,,15,1.34E-06,-13.51929303,6,,,,,,,,,,,,,,,,,,,
,A_0,.0001 m/s,,,,20,0.00541178,-0.49458822,0.49458822,4,,,20,9.94E-06,-11.51929303,8,,,,,,,,,,,,,,,,,,,
,k_max,5 rad/m,,,,25,0.01471075,-0.48528925,0.48528925,5,,,25,7.34E-05,-9.51929303,10,,,,,,,,,,,,,,,,,,,
,lamba_max,1.2566 m,,,,30,0.03998798,-0.46001202,0.46001202,6,,,30,5.43E-04,-7.51929303,12,,,,,,,,,,,,,,,,,,,
,# of billows,8,,,,35,0.10869859,-0.39130141,0.39130141,7,,,35,4.01E-03,-5.51929303,14,,,,,,,,,,,,,,,,,,,
,Growth Rate,0.2 s^-1,,,,40,0.29547339,-0.20452661,0.20452661,8,,,40,2.96E-02,-3.51929303,16,,,,,,,,,,,,,,,,,,,
,e-folding time,5.00 s,,,,45,0.80317996,0.30317996,0.30317996,9,,,45,2.19E-01,-1.51929303,18,,,,,,,,,,,,,,,,,,,
,Linear regime validity,25 s,,,,50,2.18326948,1.68326948,1.68326948,10,,,50,1.62E+00,0.48070697,20,,,,,,,,,,,,,,,,,,,
,,,,,,55,5.93474176,5.43474176,5.43474176,11,,,55,1.19E+01,2.48070697,22,,,,,,,,,,,,,,,,,,,
,,,,,,60,16.13230069,15.63230069,15.63230069,12,,,60,8.83E+01,4.48070697,24,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parameters,,,Velocity,,Time,w',w_total,|w_total|,e-foldings,,,Time,E_y(J/m),log(E_y),2*growth rate*t,,,,,,,,,,,,,,,,,,,
,,,,0.2 m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta,0.1 m,,,,0,0.00009912,-0.99990088,0.99990088,0,,,0,1.33E-08,-18.13299867,0,,,,,,,,,,,,,,,,,,,
,Kinematic Viscosity,.00001 m^2/s,,,,5,0.00073241,-0.99926759,0.99926759,2,,,5,7.28E-07,-14.13299867,4,,,,,,,,,,,,,,,,,,,
,Lx,10m,,,,10,0.00541178,-0.99458822,0.99458822,4,,,10,3.97E-05,-10.13299867,8,,,,,,,,,,,,,,,,,,,
,Lz,5m,,,,15,0.03998798,-0.96001202,0.96001202,6,,,15,2.17E-03,-6.13299867,12,,,,,,,,,,,,,,,,,,,
